SessionId	UserId	ItemId	Timestamp	BehaviorType	TimeId	CategoryId
1000015_4	1000015	5012596	1511918152	pv	4	3607361
1000015_4	1000015	999099	1511918204	pv	4	3002561
1000015_4	1000015	1317359	1511919721	cart	4	3002561
1000015_4	1000015	1317359	1511919860	pv	4	3002561
1000015_4	1000015	1317359	1511920772	pv	4	3002561
1000015_4	1000015	4648514	1511922037	pv	4	3002561
1000015_4	1000015	1317359	1511922407	pv	4	3002561
1000015_4	1000015	1899909	1511923579	pv	4	2982027
1000015_4	1000015	1317359	1511928011	pv	4	3002561
1000015_4	1000015	1317359	1511933146	pv	4	3002561
1000015_4	1000015	1317359	1511936273	pv	4	3002561
1000107_2	1000107	4389304	1511750327	cart	2	3624696
1000107_2	1000107	166308	1511750556	cart	2	4170419
1000107_2	1000107	4622270	1511750788	cart	2	1906712
1000107_2	1000107	4896193	1511750845	pv	2	1276095
1000107_2	1000107	3201183	1511756405	pv	2	1851156
1000107_2	1000107	3044493	1511756695	pv	2	2321441
1000107_2	1000107	4622270	1511773612	pv	2	1906712
1000107_2	1000107	166308	1511773633	pv	2	4170419
1000429_0	1000429	995850	1511585491	pv	0	4780547
1000429_0	1000429	1555470	1511585497	pv	0	4780547
1000429_0	1000429	4613508	1511585509	pv	0	4780547
1000429_0	1000429	2206165	1511585548	pv	0	2489066
1000429_0	1000429	3121521	1511585595	pv	0	2489066
1000429_0	1000429	2206165	1511586339	cart	0	2489066
1001076_7	1001076	3507677	1512225856	pv	7	1299190
1001076_7	1001076	3417951	1512225992	pv	7	2578647
1001076_7	1001076	3904607	1512226076	pv	7	2640118
1001076_7	1001076	1151828	1512226293	pv	7	2640118
1001076_7	1001076	1010991	1512226471	pv	7	2578647
1001076_7	1001076	2120539	1512226651	pv	7	983613
1001164_1	1001164	2397736	1511703425	pv	1	1320293
1001164_1	1001164	2704178	1511703837	pv	1	2355072
1003494_3	1003494	3981393	1511802431	fav	3	3002561
1003494_3	1003494	1923669	1511802595	pv	3	1320293
1003494_3	1003494	1890623	1511802650	pv	3	2920476
100456_1	100456	4780791	1511631662	pv	1	883960
100456_1	100456	2713904	1511632072	pv	1	366112
100456_1	100456	2580440	1511632235	cart	1	3087458
100456_1	100456	1852050	1511632380	pv	1	883960
100456_1	100456	2580440	1511632470	pv	1	3087458
1005779_5	1005779	2104076	1512017225	pv	5	1879194
1005779_5	1005779	1527822	1512017578	pv	5	200278
1005779_5	1005779	5050194	1512017585	pv	5	200278
1007645_5	1007645	810653	1512051103	cart	5	4756105
1007645_5	1007645	2457207	1512051526	fav	5	4756105
1007645_5	1007645	2457207	1512051709	pv	5	4756105
1011933_6	1011933	4663820	1512110065	pv	6	3607361
1011933_6	1011933	931748	1512111245	pv	6	3607361
1011933_6	1011933	1546748	1512111287	pv	6	3607361
1013240_3	1013240	3934546	1511880420	cart	3	3973395
1013240_3	1013240	3934546	1511880624	pv	3	3973395
1013240_3	1013240	2391901	1511881783	pv	3	4357323
1013240_3	1013240	195594	1511882089	pv	3	4357323
1013240_3	1013240	195594	1511882573	pv	3	4357323
1013240_3	1013240	3801965	1511882807	pv	3	4357323
1013240_3	1013240	4015091	1511882817	pv	3	4357323
1015634_2	1015634	5016291	1511738922	pv	2	4756105
1015634_2	1015634	4188223	1511760391	pv	2	4181361
1015634_2	1015634	3891166	1511770617	pv	2	2702525
1015634_2	1015634	2157696	1511771082	pv	2	982926
1015634_2	1015634	3866910	1511771335	pv	2	982926
1015634_2	1015634	4748355	1511772175	pv	2	982926
1015634_2	1015634	5053565	1511772894	pv	2	2878148
1015714_1	1015714	4777971	1511651931	pv	1	4801426
1015714_1	1015714	3476823	1511652278	pv	1	4145813
1015714_1	1015714	4460109	1511652410	pv	1	2465336
1015714_1	1015714	2521928	1511652538	pv	1	4801426
1015714_1	1015714	4302928	1511654771	pv	1	2465336
1015714_1	1015714	3333781	1511655242	pv	1	4756105
1015714_1	1015714	1583704	1511655327	pv	1	4801426
1015714_1	1015714	4976579	1511655422	pv	1	4801426
1015714_1	1015714	4764337	1511655550	pv	1	2465336
1015714_1	1015714	4764337	1511656027	pv	1	2465336
1015714_1	1015714	1154172	1511688322	fav	1	4643350
1015714_1	1015714	1154172	1511704883	pv	1	4643350
101610_5	101610	1286327	1511972094	pv	5	1859277
101610_5	101610	347441	1512007334	pv	5	3607361
101610_5	101610	4651640	1512007435	pv	5	3607361
101610_5	101610	2466347	1512007474	pv	5	2465336
101610_5	101610	1016878	1512007529	pv	5	982926
101610_5	101610	1808205	1512007562	pv	5	3607361
