SessionId	UserId	ItemId	Timestamp	BehaviorType	TimeId	CategoryId
0_5	0	1	1511971622	pv	5	2096639
0_5	0	2	1512009956	fav	5	2735466
0_5	0	3	1512010061	fav	5	4801426
0_5	0	3	1512010520	pv	5	4801426
0_5	0	4	1512015819	pv	5	149192
0_5	0	5	1512016137	pv	5	4801426
0_5	0	6	1512017204	cart	5	2735466
0_5	0	7	1512017805	fav	5	2735466
0_5	0	8	1512017910	fav	5	2735466
0_5	0	9	1512017989	pv	5	2735466
0_5	0	6	1512024743	buy	5	2735466
0_5	0	6	1512025417	pv	5	2735466
0_5	0	10	1512026197	pv	5	4244487
0_5	0	11	1512026888	pv	5	4086613
0_5	0	10	1512027668	pv	5	4244487
1_4	1	12	1511942485	pv	4	903809
1_4	1	13	1511942495	pv	4	903809
1_4	1	14	1511943070	buy	4	903809
2_5	2	15	1512047232	pv	5	2465336
2_5	2	16	1512047276	pv	5	3607361
3_4	3	17	1511927636	pv	4	3002561
3_4	3	18	1511927661	pv	4	3002561
4_7	4	19	1512186204	pv	7	982926
4_7	4	20	1512186359	pv	7	2355072
4_7	4	21	1512195200	pv	7	1859277
4_7	4	22	1512195722	cart	7	149192
4_7	4	23	1512195739	pv	7	3361496
4_7	4	24	1512195747	pv	7	4801426
4_7	4	25	1512201161	pv	7	2920476
4_7	4	22	1512201348	pv	7	149192
4_7	4	26	1512203171	pv	7	149192
4_7	4	27	1512203259	pv	7	2920476
4_7	4	28	1512203272	pv	7	149192
5_7	5	29	1512173882	pv	7	1879194
5_7	5	30	1512173900	fav	7	2735466
5_7	5	31	1512173930	pv	7	2885642
5_7	5	32	1512173986	fav	7	3189162
5_7	5	33	1512174004	pv	7	2355072
5_7	5	34	1512174052	pv	7	3738615
5_7	5	35	1512174206	pv	7	1879194
5_7	5	36	1512174217	pv	7	2465336
5_7	5	37	1512174358	pv	7	4756105
5_7	5	38	1512174386	pv	7	2465336
5_7	5	39	1512174456	pv	7	4756105
5_7	5	40	1512207285	pv	7	4756105
5_7	5	41	1512207390	cart	7	4339722
5_7	5	42	1512207439	pv	7	3607361
5_7	5	43	1512207491	cart	7	4756105
5_7	5	44	1512207934	pv	7	1994940
6_4	6	45	1511946183	pv	4	2465336
6_4	6	46	1511946462	pv	4	4801426
6_4	6	47	1511946568	pv	4	1521931
6_4	6	48	1511956551	pv	4	800581
6_4	6	49	1511956595	pv	4	800581
6_4	6	50	1511956758	pv	4	800581
6_4	6	49	1511956824	pv	4	800581
6_4	6	50	1511956841	pv	4	800581
7_4	7	51	1511948650	pv	4	3607361
7_4	7	52	1511951033	pv	4	1320293
7_4	7	53	1511961057	pv	4	154040
7_4	7	54	1511961722	pv	4	154040
7_4	7	55	1511962679	pv	4	3607361
7_4	7	56	1511963649	pv	4	3607361
7_4	7	55	1511963828	pv	4	3607361
